Istilah,Definisi
Hipertensi,Kondisi tekanan darah tinggi yang dapat meningkatkan risiko penyakit jantung dan stroke
Diabetes,Kelainan metabolik di mana tubuh tidak dapat mengatur gula darah dengan baik
Asma,Gangguan pernapasan kronis yang menyebabkan saluran napas menyempit
Anemia,Kekurangan sel darah merah atau hemoglobin dalam darah
Arthritis,Peradangan pada sendi yang menyebabkan nyeri dan pembengkakan
Bronkitis,Peradangan pada saluran udara utama dari paru-paru
Demam,Suhu tubuh yang meningkat di atas normal sebagai respons terhadap infeksi atau penyakit
Dehidrasi,Kekurangan cairan tubuh yang terjadi saat tubuh kehilangan lebih banyak cairan daripada yang dikonsumsi
Gastritis,Peradangan pada lapisan perut
Hipotensi,Tekanan darah rendah yang dapat menyebabkan pusing dan lemas
Migrain,Jenis sakit kepala yang intens dengan gejala tambahan seperti mual dan sensitivitas terhadap cahaya
Osteoporosis,Penyakit tulang yang menyebabkan penurunan kepadatan tulang
Pneumonia,Infeksi paru-paru yang menyebabkan kantung udara mengisi cairan atau nanah
Vertigo,Sensasi berputar atau pusing yang membuat Anda merasa seolah dunia bergerak
Tinitus,Suara berdenging atau berdesis di telinga
Alergi,Reaksi sistem kekebalan tubuh terhadap zat yang biasanya tidak berbahaya
Infeksi,Ketika mikroorganisme merugikan memasuki tubuh dan berkembang biak
Influenza,Infeksi virus yang menyerang sistem pernapasan
Sakit kepala,Nyeri yang terjadi di area kepala atau leher
Nyeri dada,Sensasi tidak nyaman di dada yang bisa disebabkan oleh berbagai kondisi
Sesak napas,Kesulitan bernapas atau merasa tidak bisa mendapatkan cukup udara
Jantung berdebar-debar,Sensasi detak jantung yang cepat, tidak teratur, atau keras
Mual,Perasaan tidak enak di perut yang sering kali mendahului muntah
Muntah,Proses mengeluarkan isi perut melalui mulut
Diare,Buang air besar yang lembek atau cair lebih dari tiga kali sehari
Sembelit,Kesulitan buang air besar atau frekuensi yang kurang dari biasanya
Batuk,Refleks untuk membersihkan tenggorokan atau saluran napas dari iritan
Pilek,Infeksi virus ringan pada saluran pernapasan atas
Flu,Infeksi virus yang menyerang hidung, tenggorokan, dan paru-paru
